country,city,income_id,advanced_thermal_treatment,anaerobic_digestion,compost,controlled_landfill,incineration,landfill_unspecified,open_dump,other,recycling,sanitary_landfill_landfill_gas_system,unaccounted_for,waterways_marine
Maldives,Male,UMC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
Maldives,Addu,UMC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
Maldives,Fuahmulah,UMC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
Mexico,M̩xico City,UMC,NA,NA,10.6,66.7,NA,NA,NA,4.2,14.19,1.56,2.75,NA
Mexico,Guadalajara,UMC,NA,NA,NA,NA,NA,NA,NA,NA,8,92,NA,NA
Mexico,Monterrey,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA
Marshall Islands,Majuro,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia, FYR",Kratovo,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia, FYR",Skopje,UMC,NA,NA,NA,95,NA,NA,2,NA,3,NA,NA,NA
Mali,Bamako,LIC,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA
Mali,Sikasso,LIC,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,75,NA
Myanmar,Mandalay,LMC,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
Myanmar,Yangon,LMC,NA,NA,NA,NA,NA,NA,87.66,NA,4.33,NA,7.67,NA
Montenegro,Podgorica,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.79,30.21,NA
Montenegro,Kotor,UMC,NA,NA,NA,59.98,NA,NA,NA,NA,NA,NA,40.02,NA
Mongolia,Ulaanbaatar,LMC,NA,NA,NA,NA,NA,NA,88.85,NA,3.2,NA,7.95,NA
Northern Mariana Islands,Saipan,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mozambique,Maputo,LIC,NA,NA,NA,NA,NA,NA,99,NA,1,NA,NA,NA
Mauritania,Nouakchott,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,Blantyre,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA
Malawi,Lilongwe,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA
Malaysia,Kuala Lumpur,UMC,NA,NA,NA,NA,NA,NA,NA,NA,10.4,NA,89.6,NA
Namibia,Windhoek,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Niamey,LIC,NA,NA,NA,NA,NA,NA,37.4,52.5,NA,NA,10.1,NA
Nigeria,Ilorin,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nigeria,Lagos,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nigeria,Kano,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nigeria,Oyo,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nigeria,Ibadan,LMC,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,56,NA
